date,epiweek,year,cases,geography
3/21/20,11,2020,23,Alabama
3/28/20,12,2020,134,Alabama
4/4/20,13,2020,673,Alabama
4/11/20,14,2020,1010,Alabama
4/18/20,15,2020,1743,Alabama
4/25/20,16,2020,1320,Alabama
5/2/20,17,2020,1518,Alabama
5/9/20,18,2020,1467,Alabama
5/16/20,19,2020,2001,Alabama
5/23/20,20,2020,1882,Alabama
5/30/20,21,2020,2707,Alabama
6/6/20,22,2020,3474,Alabama
6/13/20,23,2020,2548,Alabama
6/20/20,24,2020,5115,Alabama
6/27/20,25,2020,4406,Alabama
7/4/20,26,2020,5420,Alabama
7/11/20,27,2020,8512,Alabama
7/18/20,28,2020,9634,Alabama
7/25/20,29,2020,13424,Alabama
8/1/20,30,2020,12283,Alabama
8/8/20,31,2020,12150,Alabama
8/15/20,32,2020,9890,Alabama
8/22/20,33,2020,7099,Alabama
8/29/20,34,2020,6627,Alabama
9/5/20,35,2020,10175,Alabama
9/12/20,36,2020,7079,Alabama
9/19/20,37,2020,6441,Alabama
9/26/20,38,2020,6207,Alabama
10/3/20,39,2020,7359,Alabama
10/10/20,40,2020,6848,Alabama
10/17/20,41,2020,6173,Alabama
10/24/20,42,2020,7284,Alabama
10/31/20,43,2020,11729,Alabama
11/7/20,44,2020,9630,Alabama
11/14/20,45,2020,9702,Alabama
11/21/20,46,2020,14135,Alabama
11/28/20,47,2020,14684,Alabama
12/5/20,48,2020,14723,Alabama
12/12/20,49,2020,22648,Alabama
12/19/20,50,2020,25754,Alabama
12/26/20,51,2020,26821,Alabama
1/2/21,52,2020,23176,Alabama
1/9/21,53,2020,15598,Alabama
1/9/21,1,2021,29966,Alabama
1/16/21,2,2021,20698,Alabama
1/23/21,3,2021,18572,Alabama
1/30/21,4,2021,18469,Alabama
2/6/21,5,2021,12784,Alabama
2/13/21,6,2021,8508,Alabama
2/20/21,7,2021,5912,Alabama
2/27/21,8,2021,6409,Alabama
3/6/21,9,2021,6567,Alabama
3/13/21,10,2021,3854,Alabama
3/20/21,11,2021,7787,Alabama
3/27/21,12,2021,2931,Alabama
4/3/21,13,2021,2418,Alabama
4/10/21,14,2021,2090,Alabama
4/17/21,15,2021,3502,Alabama
4/24/21,16,2021,3730,Alabama
5/1/21,17,2021,2466,Alabama
5/8/21,18,2021,2391,Alabama
5/15/21,19,2021,9095,Alabama
5/22/21,20,2021,2041,Alabama
5/29/21,21,2021,1281,Alabama
6/5/21,22,2021,2180,Alabama
6/12/21,23,2021,1738,Alabama
6/19/21,24,2021,1334,Alabama
6/26/21,25,2021,1277,Alabama
7/3/21,26,2021,1364,Alabama
7/10/21,27,2021,3307,Alabama
7/17/21,28,2021,5597,Alabama
7/24/21,29,2021,10465,Alabama
7/31/21,30,2021,16738,Alabama
8/7/21,31,2021,19804,Alabama
8/14/21,32,2021,27688,Alabama
8/21/21,33,2021,28168,Alabama
8/28/21,34,2021,28386,Alabama
9/4/21,35,2021,30671,Alabama
9/11/21,36,2021,25484,Alabama
9/18/21,37,2021,22785,Alabama
9/25/21,38,2021,18663,Alabama
10/2/21,39,2021,11638,Alabama
